Country,leader
Afghanistan , President 
Albania , President 
Algeria , President 
Angola , President 
Antigua and Barbuda , Governor General
Argentina , President 
Armenia , President 
Aruba , Governor
Australia , Governor General
Austria , President 
Azerbaijan , President 
"Bahamas, The ", Governor General
Bahrain , King
Bangladesh , President 
Barbados , Governor General
Belarus , President 
Belgium , King
Belize , Governor General
Benin ,Novo
Bhutan , King
Bolivia , President 
Botswana , President 
Brazil , President 
Brunei , Sultan
Bulgaria , President 
Burkina Faso , President 
Burundi , President 
Cabo Verde , President 
Cambodia , King
Cameroon , President 
Canada , Governor General
Central African Republic , President 
Chad , President 
Chile , President 
China , President 
Colombia , President 
Comoros , President
"_Congo, Democratic Republic of The ", President 
"Congo, Republic of The ", President 
Costa Rica , President 
Cote D'ivoire , President 
Croatia , President 
Cuba , President 
Cyprus , President 
Czech Republic , President 
Denmark , Queen
_Djibouti , President 
Dominica , President 
Dominican Republic , President 
Ecuador , President 
Egypt , President 
El Salvador , President 
Equatorial Guinea , President 
Eritrea , President 
Estonia , President 
_Ethiopia , President 
Fiji , President 
Finland , President 
France , President 
_Gabon , President 
"Gambia, The ", President 
Georgia , President 
Germany ,President
Ghana , President 
Greece , President 
Grenada , Governor General
Guatemala , President 
Guinea , President 
Guinea Bissau , President 
Guyana , President 
Haiti , President 
Honduras , President 
Hungary , President 
Iceland , President 
India , President 
Indonesia , President 
Iran , President 
Iraq , President 
Ireland , President 
Israel , President 
Italy , President 
Jamaica , Governor General
Japan , Emperor
Jordan , King
Kazakhstan , President 
Kenya , President 
Kiribati , President 
"North, South NDE ",_ Supreme leader
"Korea, South ", President 
Kosovo , President 
Kuwait , Amir
Kyrgyzstan , President 
Laos ,President
Latvia , President 
Lebanon , President 
Lesotho , King
Liberia , President 
Libya , President 
Liechtenstein , Head of State
Lithuania , President 
Luxembourg , Grand Duke
Macedonia , President 
Madagascar , President 
Malawi , President 
Malaysia , King
Maldives , President 
Mali , President 
Malta , President 
Marshall Islands , President 
Mauritania , President 
Mauritius , President 
Mexico , President 
"Micronesia, Federated States of ", President 
Moldova , President 
_Mongolia , President 
Montenegro , President 
Morocco , King
Mozambique , President 
Myanmar , President 
Namibia , President 
Nauru , President 
Nepal , President 
Netherlands , King
New Zealand , Governor General
Nicaragua , President 
Niger , President 
Nigeria , President 
Norway , King
Oman , Sultan
Pakistan , President 
Palau , President 
Panama , President 
Papua New Guinea , Governor General
Paraguay , President 
Peru , President 
Philippines , President 
Poland , President 
Portugal , President 
Qatar , Amir
Romania , President 
Russia , President 
Rwanda , President 
Saint Kitts and Nevis , Governor General
Saint Lucia , Governor General
Saint Vincent and the Grenadines , Governor General
Samoa , Prime Minister 
Sao Tome and Principe , President 
Saudi Arabia , King
Senegal , President 
Serbia , President 
Seychelles , President 
Sierra Leone , President 
Singapore , Prime Minister 
Slovakia , President 
Slovenia , President 
Solomon Islands , Governor General
Somalia , President 
South Africa , President 
South Sudan , President 
Spain ,_Monarch_
Sri Lanka , President 
Sudan , President 
Suriname , President 
Swaziland , King
Sweden , King
Syria , President 
Taiwan , President 
Tajikistan , President 
Tanzania , President 
Thailand , King
Timor East, President 
Togo, President 
Tonga , King
Trinidad and Tobago , President 
Tunisia , President 
Turkey , President 
Turkmenistan , President 
Tuvalu , Governor General
Uganda , President 
Ukraine , President 
United Arab Emirates , President 
United_States of America ,_President_
United Kingdom , Queen
Uruguay , President 
Uzbekistan , President 
Vanuatu , President 
Venezuela , President 
Vietnam , President 
Yemen , President 
Zambia , President 
Zimbabwe , President 
