Mantle cell lymphoma of the oral cavity: case series and comprehensive review of the literature,2009,Kelly,Guggisberg
Mantle cell lymphoma of the oral cavity: case series and comprehensive review of the literature,2009,Richard C K,Jordan
Investigating silent strokes in hypertensives: a magnetic resonance imaging study (ISSYS): rationale and protocol design,2013,Iolanda,Riba-Llena
Investigating silent strokes in hypertensives: a magnetic resonance imaging study (ISSYS): rationale and protocol design,2013,Carmen Ioana,Jarca
Investigating silent strokes in hypertensives: a magnetic resonance imaging study (ISSYS): rationale and protocol design,2013,Xavier,Mundet
Investigating silent strokes in hypertensives: a magnetic resonance imaging study (ISSYS): rationale and protocol design,2013,Jose L,Tovar
Investigating silent strokes in hypertensives: a magnetic resonance imaging study (ISSYS): rationale and protocol design,2013,Francesc,Orfila
Investigating silent strokes in hypertensives: a magnetic resonance imaging study (ISSYS): rationale and protocol design,2013,Antonio,López-Rueda
Investigating silent strokes in hypertensives: a magnetic resonance imaging study (ISSYS): rationale and protocol design,2013,Cristina,Nafría
Investigating silent strokes in hypertensives: a magnetic resonance imaging study (ISSYS): rationale and protocol design,2013,Jose L,Fernández
Investigating silent strokes in hypertensives: a magnetic resonance imaging study (ISSYS): rationale and protocol design,2013,Xavier,Castañé
Investigating silent strokes in hypertensives: a magnetic resonance imaging study (ISSYS): rationale and protocol design,2013,Mar,Domingo
Investigating silent strokes in hypertensives: a magnetic resonance imaging study (ISSYS): rationale and protocol design,2013,José,Alvarez-Sabín
Investigating silent strokes in hypertensives: a magnetic resonance imaging study (ISSYS): rationale and protocol design,2013,Inés,Fernández-Cortiñas
Investigating silent strokes in hypertensives: a magnetic resonance imaging study (ISSYS): rationale and protocol design,2013,Olga,Maisterra
Investigating silent strokes in hypertensives: a magnetic resonance imaging study (ISSYS): rationale and protocol design,2013,Joan,Montaner
Investigating silent strokes in hypertensives: a magnetic resonance imaging study (ISSYS): rationale and protocol design,2013,Pilar,Delgado
Valproic acid downregulates NF-κB p50 activity and IRAK-1 in a progressive thyroid carcinoma cell line,2014,S,Schwertheim
Valproic acid downregulates NF-κB p50 activity and IRAK-1 in a progressive thyroid carcinoma cell line,2014,K,Worm
Valproic acid downregulates NF-κB p50 activity and IRAK-1 in a progressive thyroid carcinoma cell line,2014,K W,Schmid
Valproic acid downregulates NF-κB p50 activity and IRAK-1 in a progressive thyroid carcinoma cell line,2014,S-Y,Sheu-Grabellus
Effect of spironolactone on diastolic function in hypertensive left ventricular hypertrophy,2014,A,Gupta
Effect of spironolactone on diastolic function in hypertensive left ventricular hypertrophy,2014,C G,Schiros
Effect of spironolactone on diastolic function in hypertensive left ventricular hypertrophy,2014,K K,Gaddam
Effect of spironolactone on diastolic function in hypertensive left ventricular hypertrophy,2014,I,Aban
Effect of spironolactone on diastolic function in hypertensive left ventricular hypertrophy,2014,T S,Denney
