Efficient replication of Epstein-Barr virus in stratified epithelium in vitro,2014,Rachel M Temple
Efficient replication of Epstein-Barr virus in stratified epithelium in vitro,2014,Junjia Zhu
Efficient replication of Epstein-Barr virus in stratified epithelium in vitro,2014,Lynn Budgeon
Efficient replication of Epstein-Barr virus in stratified epithelium in vitro,2014,Neil David Christensen
Efficient replication of Epstein-Barr virus in stratified epithelium in vitro,2014,Craig Meyers
Efficient replication of Epstein-Barr virus in stratified epithelium in vitro,2014,Clare E Sample
Age dependence of excitatory-inhibitory balance following stroke,2011,Silvio Schmidt
Age dependence of excitatory-inhibitory balance following stroke,2011,Claus Bruehl
Age dependence of excitatory-inhibitory balance following stroke,2011,Christiane Frahm
Age dependence of excitatory-inhibitory balance following stroke,2011,Christoph Redecker
Age dependence of excitatory-inhibitory balance following stroke,2011,Otto W Witte
Patent ductus arteriosus stenting for palliation of severe pulmonary arterial hypertension in childhood,2014,Michele D'Alto
Patent ductus arteriosus stenting for palliation of severe pulmonary arterial hypertension in childhood,2014,Giuseppe Santoro
Patent ductus arteriosus stenting for palliation of severe pulmonary arterial hypertension in childhood,2014,Maria T Palladino
Patent ductus arteriosus stenting for palliation of severe pulmonary arterial hypertension in childhood,2014,Francesco Parisi
Patent ductus arteriosus stenting for palliation of severe pulmonary arterial hypertension in childhood,2014,Maria G Russo
A randomized clinical trial of Cogmed Working Memory Training in school-age children with ADHD: a replication in a diverse sample using a control condition,2013,A Chacko
A randomized clinical trial of Cogmed Working Memory Training in school-age children with ADHD: a replication in a diverse sample using a control condition,2013,A C Bedard
A randomized clinical trial of Cogmed Working Memory Training in school-age children with ADHD: a replication in a diverse sample using a control condition,2013,D J Marks
A randomized clinical trial of Cogmed Working Memory Training in school-age children with ADHD: a replication in a diverse sample using a control condition,2013,N Feirsen
A randomized clinical trial of Cogmed Working Memory Training in school-age children with ADHD: a replication in a diverse sample using a control condition,2013,J Z Uderman
A randomized clinical trial of Cogmed Working Memory Training in school-age children with ADHD: a replication in a diverse sample using a control condition,2013,A Chimiklis
A randomized clinical trial of Cogmed Working Memory Training in school-age children with ADHD: a replication in a diverse sample using a control condition,2013,E Rajwan
A randomized clinical trial of Cogmed Working Memory Training in school-age children with ADHD: a replication in a diverse sample using a control condition,2013,M Cornwell
A randomized clinical trial of Cogmed Working Memory Training in school-age children with ADHD: a replication in a diverse sample using a control condition,2013,L Anderson
A randomized clinical trial of Cogmed Working Memory Training in school-age children with ADHD: a replication in a diverse sample using a control condition,2013,A Zwilling
A randomized clinical trial of Cogmed Working Memory Training in school-age children with ADHD: a replication in a diverse sample using a control condition,2013,M Ramon
Diagnosis of exclusion: a case report of probable glatiramer acetate-induced eosinophilic myocarditis,2014,Christopher J Michaud
Diagnosis of exclusion: a case report of probable glatiramer acetate-induced eosinophilic myocarditis,2014,Heather M Bockheim
Diagnosis of exclusion: a case report of probable glatiramer acetate-induced eosinophilic myocarditis,2014,Muhammad Nabeel
Diagnosis of exclusion: a case report of probable glatiramer acetate-induced eosinophilic myocarditis,2014,Timothy E Daum
Oral potentially malignant disorders: is malignant transformation predictable and preventable?,2014,Isaäc van der Waal
Investigation of p16(INK4a) as a prognostic biomarker in oral epithelial dysplasia,2013,Paul Nankivell
Investigation of p16(INK4a) as a prognostic biomarker in oral epithelial dysplasia,2013,Hazel Williams
Investigation of p16(INK4a) as a prognostic biomarker in oral epithelial dysplasia,2013,Keith Webster
Investigation of p16(INK4a) as a prognostic biomarker in oral epithelial dysplasia,2013,David Pearson
Investigation of p16(INK4a) as a prognostic biomarker in oral epithelial dysplasia,2013,Alec High
Investigation of p16(INK4a) as a prognostic biomarker in oral epithelial dysplasia,2013,Kenneth MacLennan
Investigation of p16(INK4a) as a prognostic biomarker in oral epithelial dysplasia,2013,Burcu Senguven
Investigation of p16(INK4a) as a prognostic biomarker in oral epithelial dysplasia,2013,Christopher McConkey
Investigation of p16(INK4a) as a prognostic biomarker in oral epithelial dysplasia,2013,Pamela Rabbitts
Investigation of p16(INK4a) as a prognostic biomarker in oral epithelial dysplasia,2013,Hisham Mehanna
Comparison of predictive value for first cardiovascular event between Japanese GFR equation and coefficient-modified CKD-EPI equation,2014,Hiroyuki Terawaki
Comparison of predictive value for first cardiovascular event between Japanese GFR equation and coefficient-modified CKD-EPI equation,2014,Masaaki Nakayama
Comparison of predictive value for first cardiovascular event between Japanese GFR equation and coefficient-modified CKD-EPI equation,2014,Koichi Asahi
Comparison of predictive value for first cardiovascular event between Japanese GFR equation and coefficient-modified CKD-EPI equation,2014,Takeyasu Kakamu
Comparison of predictive value for first cardiovascular event between Japanese GFR equation and coefficient-modified CKD-EPI equation,2014,Takehito Hayakawa
Comparison of predictive value for first cardiovascular event between Japanese GFR equation and coefficient-modified CKD-EPI equation,2014,Kunitoshi Iseki
Comparison of predictive value for first cardiovascular event between Japanese GFR equation and coefficient-modified CKD-EPI equation,2014,Kenjiro Kimura
Comparison of predictive value for first cardiovascular event between Japanese GFR equation and coefficient-modified CKD-EPI equation,2014,Toshiki Moriyama
Comparison of predictive value for first cardiovascular event between Japanese GFR equation and coefficient-modified CKD-EPI equation,2014,Kunihiro Yamagata
Comparison of predictive value for first cardiovascular event between Japanese GFR equation and coefficient-modified CKD-EPI equation,2014,Ichiei Narita
Comparison of predictive value for first cardiovascular event between Japanese GFR equation and coefficient-modified CKD-EPI equation,2014,Shouichi Fujimoto
Comparison of predictive value for first cardiovascular event between Japanese GFR equation and coefficient-modified CKD-EPI equation,2014,Kazuhiko Tsuruya
Comparison of predictive value for first cardiovascular event between Japanese GFR equation and coefficient-modified CKD-EPI equation,2014,Tsuneo Konta
Comparison of predictive value for first cardiovascular event between Japanese GFR equation and coefficient-modified CKD-EPI equation,2014,Masahide Kondo
Comparison of predictive value for first cardiovascular event between Japanese GFR equation and coefficient-modified CKD-EPI equation,2014,Issei Kurahashi
Comparison of predictive value for first cardiovascular event between Japanese GFR equation and coefficient-modified CKD-EPI equation,2014,Yasuo Ohashi
Comparison of predictive value for first cardiovascular event between Japanese GFR equation and coefficient-modified CKD-EPI equation,2014,Tetsuhito Fukushima
Comparison of predictive value for first cardiovascular event between Japanese GFR equation and coefficient-modified CKD-EPI equation,2014,Tsuyoshi Watanabe
Oligonucleotide-Based Therapy for FTD/ALS Caused by the C9orf72 Repeat Expansion: A Perspective,2013,Stephanie A Fernandes
Oligonucleotide-Based Therapy for FTD/ALS Caused by the C9orf72 Repeat Expansion: A Perspective,2013,Andrew G L Douglas
Oligonucleotide-Based Therapy for FTD/ALS Caused by the C9orf72 Repeat Expansion: A Perspective,2013,Miguel A Varela
Oligonucleotide-Based Therapy for FTD/ALS Caused by the C9orf72 Repeat Expansion: A Perspective,2013,Matthew J A Wood
Oligonucleotide-Based Therapy for FTD/ALS Caused by the C9orf72 Repeat Expansion: A Perspective,2013,Yoshitsugu Aoki
Adverse socioeconomic position during the life course is associated with multiple sclerosis,2014,Farren B S Briggs
Adverse socioeconomic position during the life course is associated with multiple sclerosis,2014,Brigid S Acuña
Adverse socioeconomic position during the life course is associated with multiple sclerosis,2014,Ling Shen
Adverse socioeconomic position during the life course is associated with multiple sclerosis,2014,Kalliope H Bellesis
Adverse socioeconomic position during the life course is associated with multiple sclerosis,2014,Patricia P Ramsay
Adverse socioeconomic position during the life course is associated with multiple sclerosis,2014,Hong Quach
Adverse socioeconomic position during the life course is associated with multiple sclerosis,2014,Allan Bernstein
Adverse socioeconomic position during the life course is associated with multiple sclerosis,2014,Catherine Schaefer
Adverse socioeconomic position during the life course is associated with multiple sclerosis,2014,Lisa F Barcellos
A triadic neurocognitive approach to addiction for clinical interventions,2013,Xavier Noël
A triadic neurocognitive approach to addiction for clinical interventions,2013,Damien Brevers
A triadic neurocognitive approach to addiction for clinical interventions,2013,Antoine Bechara
Serum circulating human mRNA profiling and its utility for oral cancer detection,2006,Yang Li
Serum circulating human mRNA profiling and its utility for oral cancer detection,2006,David Elashoff
Serum circulating human mRNA profiling and its utility for oral cancer detection,2006,Myungshin Oh
Serum circulating human mRNA profiling and its utility for oral cancer detection,2006,Uttam Sinha
Serum circulating human mRNA profiling and its utility for oral cancer detection,2006,Maie A R St John
Serum circulating human mRNA profiling and its utility for oral cancer detection,2006,Xiaofeng Zhou
Serum circulating human mRNA profiling and its utility for oral cancer detection,2006,Elliot Abemayor
Serum circulating human mRNA profiling and its utility for oral cancer detection,2006,David T Wong
Idiopathic intracranial hypertension caused by dietary hypervitaminosis A,2014,G R Aispuru
Idiopathic intracranial hypertension caused by dietary hypervitaminosis A,2014,E E Pascual-Pablo
Prostaglandin synthases influence thyroid follicular cell proliferation but not carcinogenesis in rats initiated with N-bis(2-hydroxypropyl)nitrosamine,2012,Yoshio Ota
Prostaglandin synthases influence thyroid follicular cell proliferation but not carcinogenesis in rats initiated with N-bis(2-hydroxypropyl)nitrosamine,2012,Toshio Imai
Prostaglandin synthases influence thyroid follicular cell proliferation but not carcinogenesis in rats initiated with N-bis(2-hydroxypropyl)nitrosamine,2012,Mai Hasumura
Prostaglandin synthases influence thyroid follicular cell proliferation but not carcinogenesis in rats initiated with N-bis(2-hydroxypropyl)nitrosamine,2012,Young-Man Cho
Prostaglandin synthases influence thyroid follicular cell proliferation but not carcinogenesis in rats initiated with N-bis(2-hydroxypropyl)nitrosamine,2012,Shigeaki Takami
Prostaglandin synthases influence thyroid follicular cell proliferation but not carcinogenesis in rats initiated with N-bis(2-hydroxypropyl)nitrosamine,2012,Toshifumi Oyamada
Prostaglandin synthases influence thyroid follicular cell proliferation but not carcinogenesis in rats initiated with N-bis(2-hydroxypropyl)nitrosamine,2012,Masao Hirose
Prostaglandin synthases influence thyroid follicular cell proliferation but not carcinogenesis in rats initiated with N-bis(2-hydroxypropyl)nitrosamine,2012,Akiyoshi Nishikawa
Prostaglandin synthases influence thyroid follicular cell proliferation but not carcinogenesis in rats initiated with N-bis(2-hydroxypropyl)nitrosamine,2012,Kumiko Ogawa
Alterations in neuromuscular function and perceptual responses following acute eccentric cycling exercise,2010,Steven J Elmer
Alterations in neuromuscular function and perceptual responses following acute eccentric cycling exercise,2010,John McDaniel
Alterations in neuromuscular function and perceptual responses following acute eccentric cycling exercise,2010,James C Martin
Cancer screening practices and associated lifestyles in population controls of the Spanish multi-case control study],2012,M Dolores Perea
Cancer screening practices and associated lifestyles in population controls of the Spanish multi-case control study],2012,Gemma Castaño-Vinyals
Cancer screening practices and associated lifestyles in population controls of the Spanish multi-case control study],2012,Jone M Altzibar
Cancer screening practices and associated lifestyles in population controls of the Spanish multi-case control study],2012,Nieves Ascunce
Cancer screening practices and associated lifestyles in population controls of the Spanish multi-case control study],2012,Víctor Moreno
Cancer screening practices and associated lifestyles in population controls of the Spanish multi-case control study],2012,Adonina Tardon
Cancer screening practices and associated lifestyles in population controls of the Spanish multi-case control study],2012,Marina Pollán
Cancer screening practices and associated lifestyles in population controls of the Spanish multi-case control study],2012,Maria Sala
Cancer screening practices and associated lifestyles in population controls of the Spanish multi-case control study],2012,[Collective Name] MCC-Spain
Management and outcomes of coronary artery perforations during percutaneous treatment of acute coronary syndromes,2014,Aç Aykan
Management and outcomes of coronary artery perforations during percutaneous treatment of acute coronary syndromes,2014,A Güler
Management and outcomes of coronary artery perforations during percutaneous treatment of acute coronary syndromes,2014,I Gül
Management and outcomes of coronary artery perforations during percutaneous treatment of acute coronary syndromes,2014,Cy Karabay
Management and outcomes of coronary artery perforations during percutaneous treatment of acute coronary syndromes,2014,E Alizade
Management and outcomes of coronary artery perforations during percutaneous treatment of acute coronary syndromes,2014,T Gökdeniz
Management and outcomes of coronary artery perforations during percutaneous treatment of acute coronary syndromes,2014,E Kalaycıoğlu
Management and outcomes of coronary artery perforations during percutaneous treatment of acute coronary syndromes,2014,M Cetin
Management and outcomes of coronary artery perforations during percutaneous treatment of acute coronary syndromes,2014,M Yıldız
Food allergy training event for restaurant staff; a pilot evaluation,2014,Samuel Bailey
Food allergy training event for restaurant staff; a pilot evaluation,2014,Tiffany Billmeier Kindratt
Food allergy training event for restaurant staff; a pilot evaluation,2014,Helen Smith
Food allergy training event for restaurant staff; a pilot evaluation,2014,David Reading
The product of resting heart rate times blood pressure is associated with high brachial-ankle pulse wave velocity,2014,Anxin Wang
The product of resting heart rate times blood pressure is associated with high brachial-ankle pulse wave velocity,2014,Jie Tao
The product of resting heart rate times blood pressure is associated with high brachial-ankle pulse wave velocity,2014,Xiuhua Guo
The product of resting heart rate times blood pressure is associated with high brachial-ankle pulse wave velocity,2014,Xuemei Liu
The product of resting heart rate times blood pressure is associated with high brachial-ankle pulse wave velocity,2014,Yanxia Luo
The product of resting heart rate times blood pressure is associated with high brachial-ankle pulse wave velocity,2014,Xiurong Liu
The product of resting heart rate times blood pressure is associated with high brachial-ankle pulse wave velocity,2014,Zhe Huang
The product of resting heart rate times blood pressure is associated with high brachial-ankle pulse wave velocity,2014,Shuohua Chen
The product of resting heart rate times blood pressure is associated with high brachial-ankle pulse wave velocity,2014,Xingquan Zhao
The product of resting heart rate times blood pressure is associated with high brachial-ankle pulse wave velocity,2014,Jost B Jonas
The product of resting heart rate times blood pressure is associated with high brachial-ankle pulse wave velocity,2014,Shouling Wu
Trends in the clinical and pathological characteristics of cardiac rupture in patients with acute myocardial infarction over 35 years,2014,Satoshi Honda
Trends in the clinical and pathological characteristics of cardiac rupture in patients with acute myocardial infarction over 35 years,2014,Yasuhide Asaumi
Trends in the clinical and pathological characteristics of cardiac rupture in patients with acute myocardial infarction over 35 years,2014,Takafumi Yamane
Trends in the clinical and pathological characteristics of cardiac rupture in patients with acute myocardial infarction over 35 years,2014,Toshiyuki Nagai
Trends in the clinical and pathological characteristics of cardiac rupture in patients with acute myocardial infarction over 35 years,2014,Tadayoshi Miyagi
Trends in the clinical and pathological characteristics of cardiac rupture in patients with acute myocardial infarction over 35 years,2014,Teruo Noguchi
Trends in the clinical and pathological characteristics of cardiac rupture in patients with acute myocardial infarction over 35 years,2014,Toshihisa Anzai
Trends in the clinical and pathological characteristics of cardiac rupture in patients with acute myocardial infarction over 35 years,2014,Yoichi Goto
Trends in the clinical and pathological characteristics of cardiac rupture in patients with acute myocardial infarction over 35 years,2014,Masaharu Ishihara
Trends in the clinical and pathological characteristics of cardiac rupture in patients with acute myocardial infarction over 35 years,2014,Kunihiro Nishimura
Trends in the clinical and pathological characteristics of cardiac rupture in patients with acute myocardial infarction over 35 years,2014,Hisao Ogawa
Trends in the clinical and pathological characteristics of cardiac rupture in patients with acute myocardial infarction over 35 years,2014,Hatsue Ishibashi-Ueda
Trends in the clinical and pathological characteristics of cardiac rupture in patients with acute myocardial infarction over 35 years,2014,Satoshi Yasuda
Duration and exclusiveness of breastfeeding and childhood asthma-related symptoms,2011,A M M Sonnenschein-van der Voort
Duration and exclusiveness of breastfeeding and childhood asthma-related symptoms,2011,V W V Jaddoe
Duration and exclusiveness of breastfeeding and childhood asthma-related symptoms,2011,R J P van der Valk
Duration and exclusiveness of breastfeeding and childhood asthma-related symptoms,2011,S P Willemsen
Duration and exclusiveness of breastfeeding and childhood asthma-related symptoms,2011,A Hofman
Duration and exclusiveness of breastfeeding and childhood asthma-related symptoms,2011,H A Moll
Duration and exclusiveness of breastfeeding and childhood asthma-related symptoms,2011,J C de Jongste
Duration and exclusiveness of breastfeeding and childhood asthma-related symptoms,2011,L Duijts
Renal denervation as a friend of catheter ablation in patients with atrial fibrillation and hypertension,2014,Meng Zhang
Renal denervation as a friend of catheter ablation in patients with atrial fibrillation and hypertension,2014,Hui Tao
Renal denervation as a friend of catheter ablation in patients with atrial fibrillation and hypertension,2014,Kai-Hu Shi
The effect of testosterone replacement therapy on prostate cancer: a systematic review and meta-analysis,2014,Y Cui
The effect of testosterone replacement therapy on prostate cancer: a systematic review and meta-analysis,2014,H Zong
The effect of testosterone replacement therapy on prostate cancer: a systematic review and meta-analysis,2014,H Yan
The effect of testosterone replacement therapy on prostate cancer: a systematic review and meta-analysis,2014,Y Zhang
The protective effects of berry-derived anthocyanins against visible light-induced damage in human retinal pigment epithelial cells,2014,Yong Wang
The protective effects of berry-derived anthocyanins against visible light-induced damage in human retinal pigment epithelial cells,2014,Di Zhang
The protective effects of berry-derived anthocyanins against visible light-induced damage in human retinal pigment epithelial cells,2014,YiXiang Liu
The protective effects of berry-derived anthocyanins against visible light-induced damage in human retinal pigment epithelial cells,2014,Dan Wang
The protective effects of berry-derived anthocyanins against visible light-induced damage in human retinal pigment epithelial cells,2014,Jia Liu
The protective effects of berry-derived anthocyanins against visible light-induced damage in human retinal pigment epithelial cells,2014,BaoPing Ji
